epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,5772.02,1.1342,0.93154,0.01833,0.78286,0.76562,0.79645,0.54343,1.1529,0.93166,0.02527,0.001274,0.001274,0.001274
57,5858.53,1.10844,0.91611,0.01815,0.82642,0.74219,0.78293,0.52105,1.1562,0.97588,0.0258,0.0012608,0.0012608,0.0012608
58,5945.56,1.12185,0.89037,0.01839,0.82865,0.74303,0.78942,0.53132,1.18674,0.92881,0.02603,0.0012476,0.0012476,0.0012476
59,6031.33,1.12883,0.89676,0.01814,0.84319,0.72813,0.81392,0.55243,1.14095,0.91462,0.0247,0.0012344,0.0012344,0.0012344
60,6118.53,1.12689,0.88099,0.01814,0.80447,0.75521,0.80115,0.54592,1.13789,0.96435,0.02523,0.0012212,0.0012212,0.0012212
61,6205.08,1.11329,0.88762,0.01815,0.77857,0.75521,0.80152,0.53605,1.13148,0.97566,0.02456,0.001208,0.001208,0.001208
62,6291.16,1.106,0.86024,0.01788,0.8307,0.72917,0.79246,0.52106,1.16857,0.96167,0.02714,0.0011948,0.0011948,0.0011948
63,6378.3,1.11295,0.86888,0.01783,0.75354,0.7803,0.80619,0.54442,1.13606,0.93001,0.02481,0.0011816,0.0011816,0.0011816
64,6464.01,1.10451,0.86796,0.01734,0.83333,0.72917,0.80362,0.52746,1.1866,0.91858,0.02723,0.0011684,0.0011684,0.0011684
65,6550.29,1.09414,0.86129,0.01776,0.82967,0.75521,0.79998,0.54634,1.14105,0.95231,0.02518,0.0011552,0.0011552,0.0011552
66,6637.51,1.09889,0.89491,0.01763,0.8109,0.77865,0.8079,0.54224,1.15578,0.89695,0.02534,0.001142,0.001142,0.001142
67,6723.08,1.08039,0.86406,0.01709,0.79724,0.78385,0.80598,0.53956,1.14832,0.91404,0.02535,0.0011288,0.0011288,0.0011288
68,6809.71,1.08328,0.84215,0.01721,0.78037,0.75874,0.79663,0.51967,1.17524,0.96206,0.02626,0.0011156,0.0011156,0.0011156
69,6896.67,1.08873,0.84017,0.01766,0.81991,0.73958,0.80457,0.53702,1.15763,0.90566,0.02605,0.0011024,0.0011024,0.0011024
70,6982.17,1.04738,0.79656,0.01692,0.79463,0.75781,0.80096,0.53944,1.13948,0.90121,0.02532,0.0010892,0.0010892,0.0010892
71,7068.92,1.05972,0.82682,0.01659,0.78784,0.78906,0.80675,0.53721,1.17418,0.90191,0.02592,0.001076,0.001076,0.001076
72,7155.67,1.06256,0.8451,0.01698,0.85039,0.72135,0.81077,0.5393,1.1902,0.9205,0.02653,0.0010628,0.0010628,0.0010628
73,7241.15,1.04886,0.8107,0.01674,0.80445,0.75,0.80706,0.54692,1.18526,0.89814,0.02627,0.0010496,0.0010496,0.0010496
74,7328.4,1.06553,0.82306,0.01695,0.8016,0.7681,0.79648,0.53609,1.13416,0.913,0.025,0.0010364,0.0010364,0.0010364
75,7414.64,1.0623,0.82753,0.01678,0.8386,0.71715,0.78852,0.53076,1.1629,0.95192,0.02556,0.0010232,0.0010232,0.0010232
76,7500.96,1.07565,0.82412,0.01713,0.78484,0.76042,0.80621,0.54302,1.19494,0.89643,0.0271,0.00101,0.00101,0.00101
77,7587.81,1.0484,0.8053,0.01631,0.8006,0.74237,0.79332,0.53967,1.15278,0.88908,0.02512,0.0009968,0.0009968,0.0009968
78,7673.56,1.07162,0.83328,0.01719,0.82086,0.77083,0.81719,0.55064,1.1467,0.90543,0.02566,0.0009836,0.0009836,0.0009836
79,7760.22,1.05095,0.78509,0.0168,0.81156,0.7526,0.80956,0.54966,1.14984,0.88888,0.02553,0.0009704,0.0009704,0.0009704
80,7847.11,1.04685,0.7714,0.01639,0.84925,0.71885,0.80703,0.55371,1.12832,0.88592,0.02468,0.0009572,0.0009572,0.0009572
