epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,10140.7,1.00859,0.73318,0.01621,0.87553,0.76933,0.83208,0.57033,1.12975,0.81447,0.02462,0.000416,0.000416,0.000416
58,10308.4,1.00968,0.71991,0.01612,0.81762,0.78646,0.82526,0.56266,1.13716,0.85615,0.0249,0.000387714,0.000387714,0.000387714
59,10475.4,1.0144,0.73409,0.01601,0.82763,0.80027,0.824,0.55891,1.13852,0.84143,0.02513,0.000359429,0.000359429,0.000359429
60,10642.6,1.01157,0.70746,0.01592,0.84008,0.79688,0.8226,0.56095,1.11838,0.88323,0.02427,0.000331143,0.000331143,0.000331143
61,10844.8,0.89985,0.51204,0.01821,0.84778,0.78321,0.81891,0.55789,1.14467,0.89446,0.02515,0.000302857,0.000302857,0.000302857
62,11011.2,0.90007,0.49992,0.01809,0.85026,0.76891,0.82046,0.56188,1.10996,0.8604,0.0238,0.000274571,0.000274571,0.000274571
63,11178,0.88324,0.48381,0.01758,0.83602,0.80991,0.82056,0.55723,1.11407,0.81966,0.02389,0.000246286,0.000246286,0.000246286
64,11344.5,0.86931,0.46242,0.01792,0.84024,0.78906,0.81827,0.55455,1.10902,0.86577,0.02405,0.000218,0.000218,0.000218
65,11511.2,0.8609,0.4503,0.01695,0.81256,0.80152,0.83113,0.56378,1.12657,0.84875,0.02444,0.000189714,0.000189714,0.000189714
66,11678,0.85689,0.45001,0.01689,0.83049,0.80469,0.83208,0.56922,1.11246,0.86272,0.0239,0.000161429,0.000161429,0.000161429
67,11845.3,0.83871,0.43119,0.01637,0.85378,0.79167,0.82876,0.56319,1.10927,0.87014,0.02373,0.000133143,0.000133143,0.000133143
68,12012.5,0.84319,0.45659,0.01686,0.88115,0.77083,0.83057,0.56572,1.11568,0.8547,0.02389,0.000104857,0.000104857,0.000104857
69,12179.4,0.84468,0.4403,0.01636,0.84871,0.78646,0.82891,0.56688,1.10841,0.85446,0.02381,7.65714e-05,7.65714e-05,7.65714e-05
70,12346.3,0.82138,0.43215,0.01613,0.85629,0.79134,0.83073,0.56756,1.10753,0.85384,0.02383,4.82857e-05,4.82857e-05,4.82857e-05
